uid	orderId	pf	productId	orderInfo	time	currency	spend	paid	status	payLevel	buildingLv
461764208000067	12999763169054705758.1311494796363500	google	9105		1420504790128	0	19.99	0.00	0	15	0
1053566931000001	12999763169054705758.1311494796363500	google	9105		1420504790128	0	19.99	0.00	0	5	0
31371967000024	12999763169054705758.1355112618497713	google	9300		1421472922600	0	9.99	0.00	0	14	0
633729565000072	12999763169054705758.1355112618497713	google	9300		1421472922600	0	9.99	0.00	0	10	0
422672810001	12999763169054705758.1312650993081139	google	9465		1422212583105	0	4.99	0.00	0	16	0
646487683000001	12999763169054705758.1388221782796845	google	9481		1422705317135	0	9.99	0.00	0	18	0
992809749000001	12999763169054705758.1388221782796845	google	9481		1422705317135	0	9.99	0.00	0	12	0
1164579064000001	12999763169054705758.1323078200219233	google	9105		1424623639487	0	19.99	0.00	0	1	0
1169283781000001	12999763169054705758.1334408672367695	google	9365		1424780251857	0	4.99	0.00	0	1	0
5585572790001	12999763169054705758.1320718233276323	google	9006		1427687248572	0	24.99	0.00	0	19	0
3495253430001	12999763169054705758.1303908145870880	google	9716		1428810187984	0	9.99	0.00	0	22	0
741705470000106	12999763169054705758.1323885009971613	google	9745		1429357935510	0	4.99	0.00	0	15	0
1136449086000001	12999763169054705758.1345962097077661	google	9765		1429686588957	0	4.99	0.00	0	10	11
4337747710001	12999763169054705758.1345962097077661	google	9765		1429687377755	0	4.99	0.00	0	20	20
343472229000069	770244516423794	facebook	9760		1429712215281	0	4.99	0.00	0	23	20
4166882870001	12999763169054705758.1398474590496563	google	9815		1430448127369	0	4.99	0.00	0	23	20
1306225845000001	12999763169054705758.1398474590496563	google	9815		1430448899960	0	4.99	0.00	0	7	9
105978191000245	12999763169054705758.1331596920439981	google	9310		1430749397702	0	9.99	0.00	0	1	2
4166882870001	12999763169054705758.1306897831513894	google	9832		1430825637129	0	19.99	0.00	0	23	20
101989996000001	12999763169054705758.1306897831513894	google	9832		1430827067149	0	19.99	0.00	0	14	13
1029688357000233	12999763169054705758.1331596920439981	google	9310		1430875367978	0	9.99	0.00	0	3	4
1198785709000140	12999763169054705758.1331596920439981	google	9310		1430892701176	0	9.99	0.00	0	1	1
1043702900000233	12999763169054705758.1331596920439981	google	9310		1430900244604	0	9.99	0.00	0	1	2
1262446652000005	12999763169054705758.1331596920439981	google	9310		1430901092388	0	9.99	0.00	0	2	2
979478612000015	12999763169054705758.1331596920439981	google	9310		1430916088440	0	9.99	0.00	0	1	2
27109489000298	12999763169054705758.1331596920439981	google	9310		1431068805631	0	9.99	0.00	0	4	5
1051941559000233	12999763169054705758.1331596920439981	google	9310		1431081422197	0	9.99	0.00	0	2	2
1264986265000005	12999763169054705758.1331596920439981	google	9310		1431088905337	0	9.99	0.00	0	1	2
1347457768000001	12999763169054705758.1331596920439981	google	9310		1431102332318	0	9.99	0.00	0	1	1
